地名,センター,可燃ごみ,硬プラ・革製品類,容器包装プラスチック,紙・布類,びん類,金属類,ペットボトル,アルミ缶,廃食用油,埋立ごみ
上野C(府中地区),センター,20140403 20140407 20140410 20140414 20140417 20140421 20140424 20140428 20140501 20140507 20140512 20140515 20140519 20140522 20140526 20140529 20140602 20140605 20140609 20140612 20140616 20140619 20140623 20140626 20140630 20140703 20140707 20140710 20140714 20140717 20140722 20140724 20140728 20140731 20140804 20140807 20140811 20140814 20140818 20140821 20140825 20140828 20140901 20140904 20140908 20140911 20140916 20140918 20140922 20140925 20140929 20141002 20141006 20141009 20141014 20141016 20141020 20141023 20141027 20141030 20141104 20141106 20141110 20141113 20141117 20141120 20141125 20141127 20141201 20141204 20141208 20141211 20141215 20141218 20141222 20141225 20141229 20150105 20150108 20150113 20150115 20150119 20150122 20150126 20150129 20150202 20150205 20150209 20150212 20150216 20150219 20150223 20150226 20150302 20150305 20150309 20150312 20150316 20150319 20150323 20150326 20150330,20140418 20140627 20140829 20141003 20141212 20150220,20140401 20140408 20140415 20140423 20140502 20140508 20140513 20140520 20140528 20140603 20140610 20140618 20140624 20140701 20140708 20140715 20140723 20140730 20140805 20140812 20140820 20140827 20140902 20140909 20140917 20140926 20141001 20141007 20141017 20141021 20141029 20141105 20141111 20141121 20141128 20141202 20141209 20141217 20141226 20150109 20150114 20150120 20150128 20150203 20150210 20150217 20150225 20150303 20150311 20150318 20150324,20140402 20140509 20140604 20140702 20140806 20140903 20141008 20141112 20141203 20150107 20150204 20150304,20140402 20140509 20140604 20140702 20140806 20140903 20141008 20141112 20141203 20150107 20150204 20150304,20140422 20140527 20140617 20140729 20140819 20140930 20141028 20141126 20141216 20150127 20150224 20150317,20140418 20140523 20140627 20140718 20140829 20140912 20141003 20141107 20141212 20150123 20150220 20150313,20140418 20140523 20140627 20140718 20140829 20140912 20141003 20141107 20141212 20150123 20150220 20150313,20140604 20140903 20141203 20150304,20140523 20140718 20140912 20141107 20150123 20150313
上野C(中瀬地区),センター,20140403 20140407 20140410 20140414 20140417 20140421 20140424 20140428 20140501 20140507 20140512 20140515 20140519 20140522 20140526 20140529 20140602 20140605 20140609 20140612 20140616 20140619 20140623 20140626 20140630 20140703 20140707 20140710 20140714 20140717 20140722 20140724 20140728 20140731 20140804 20140807 20140811 20140814 20140818 20140821 20140825 20140828 20140901 20140904 20140908 20140911 20140916 20140918 20140922 20140925 20140929 20141002 20141006 20141009 20141014 20141016 20141020 20141023 20141027 20141030 20141104 20141106 20141110 20141113 20141117 20141120 20141125 20141127 20141201 20141204 20141208 20141211 20141215 20141218 20141222 20141225 20141229 20150105 20150108 20150113 20150115 20150119 20150122 20150126 20150129 20150202 20150205 20150209 20150212 20150216 20150219 20150223 20150226 20150302 20150305 20150309 20150312 20150316 20150319 20150323 20150326 20150330,20140418 20140627 20140829 20141003 20141212 20150220,20140401 20140408 20140415 20140423 20140502 20140508 20140513 20140520 20140528 20140603 20140610 20140618 20140624 20140701 20140708 20140715 20140723 20140730 20140805 20140812 20140820 20140827 20140902 20140909 20140917 20140926 20141001 20141007 20141017 20141021 20141029 20141105 20141111 20141121 20141128 20141202 20141209 20141217 20141226 20150109 20150114 20150120 20150128 20150203 20150210 20150217 20150225 20150303 20150311 20150318 20150324,20140402 20140509 20140604 20140702 20140806 20140903 20141008 20141112 20141203 20150107 20150204 20150304,20140402 20140509 20140604 20140702 20140806 20140903 20141008 20141112 20141203 20150107 20150204 20150304,20140422 20140527 20140617 20140729 20140819 20140930 20141028 20141126 20141216 20150127 20150224 20150317,20140418 20140523 20140627 20140718 20140829 20140912 20141003 20141107 20141212 20150123 20150220 20150313,20140418 20140523 20140627 20140718 20140829 20140912 20141003 20141107 20141212 20150123 20150220 20150313,20140402 20140702 20141008 20150107,20140523 20140718 20140912 20141107 20150123 20150313
上野C(友生地区　ゆめが丘),センター,20140403 20140407 20140410 20140414 20140417 20140421 20140424 20140428 20140501 20140507 20140512 20140515 20140519 20140522 20140526 20140529 20140602 20140605 20140609 20140612 20140616 20140619 20140623 20140626 20140630 20140703 20140707 20140710 20140714 20140717 20140722 20140724 20140728 20140731 20140804 20140807 20140811 20140814 20140818 20140821 20140825 20140828 20140901 20140904 20140908 20140911 20140916 20140918 20140922 20140925 20140929 20141002 20141006 20141009 20141014 20141016 20141020 20141023 20141027 20141030 20141104 20141106 20141110 20141113 20141117 20141120 20141125 20141127 20141201 20141204 20141208 20141211 20141215 20141218 20141222 20141225 20141229 20150105 20150108 20150113 20150115 20150119 20150122 20150126 20150129 20150202 20150205 20150209 20150212 20150216 20150219 20150223 20150226 20150302 20150305 20150309 20150312 20150316 20150319 20150323 20150326 20150330,20140418 20140627 20140829 20141003 20141212 20150220,20140401 20140408 20140415 20140423 20140502 20140508 20140513 20140520 20140528 20140603 20140610 20140618 20140624 20140701 20140708 20140715 20140723 20140730 20140805 20140812 20140820 20140827 20140902 20140909 20140917 20140926 20141001 20141007 20141017 20141021 20141029 20141105 20141111 20141121 20141128 20141202 20141209 20141217 20141226 20150109 20150114 20150120 20150128 20150203 20150210 20150217 20150225 20150303 20150311 20150318 20150324,20140402 20140509 20140604 20140702 20140806 20140903 20141008 20141112 20141203 20150107 20150204 20150304,20140402 20140509 20140604 20140702 20140806 20140903 20141008 20141112 20141203 20150107 20150204 20150304,20140422 20140527 20140617 20140729 20140819 20140930 20141028 20141126 20141216 20150127 20150224 20150317,20140418 20140523 20140627 20140718 20140829 20140912 20141003 20141107 20141212 20150123 20150220 20150313,20140418 20140523 20140627 20140718 20140829 20140912 20141003 20141107 20141212 20150123 20150220 20150313,20140509 20140806 20141112 20150204,20140523 20140718 20140912 20141107 20150123 20150313
上野D(上野桑町　上野恵美須町　上野池町　上野鉄砲町),センター,20140401 20140404 20140408 20140411 20140415 20140418 20140422 20140425 20140430 20140502 20140508 20140513 20140516 20140520 20140523 20140527 20140530 20140603 20140606 20140610 20140613 20140617 20140620 20140624 20140627 20140701 20140704 20140708 20140711 20140715 20140718 20140723 20140725 20140729 20140801 20140805 20140808 20140812 20140815 20140819 20140822 20140826 20140829 20140902 20140905 20140909 20140912 20140917 20140919 20140924 20140926 20140930 20141003 20141007 20141010 20141015 20141017 20141021 20141024 20141028 20141031 20141105 20141107 20141111 20141114 20141118 20141121 20141126 20141128 20141202 20141205 20141209 20141212 20141216 20141219 20141224 20141226 20141230 20150106 20150109 20150114 20150116 20150120 20150123 20150127 20150130 20150203 20150206 20150210 20150213 20150217 20150220 20150224 20150227 20150303 20150306 20150310 20150313 20150317 20150320 20150324 20150327 20150331,20140410 20140612 20140821 20141023 20141218 20150226,20140409 20140414 20140421 20140428 20140507 20140514 20140519 20140526 20140604 20140611 20140616 20140623 20140630 20140709 20140714 20140722 20140728 20140804 20140813 20140820 20140825 20140901 20140910 20140916 20140922 20141001 20141006 20141014 20141022 20141027 20141104 20141112 20141119 20141125 20141201 20141210 20141217 20141222 20150105 20150115 20150119 20150126 20150205 20150209 20150216 20150223 20150305 20150309 20150316 20150323 20150330,20140424 20140521 20140626 20140730 20140828 20140929 20141029 20141127 2014225 20150128 20150218 20150318,20140424 20140521 20140626 20140730 20140828 20140929 20141029 20141127 2014225 20150128 20150218 20150318,20140407 20140512 20140602 20140707 20140811 20140908 20141020 20141117 20141215 20150113 20150202 20150302,20140403 20140515 20140605 20140703 20140807 20140904 20141009 20141110 20141208 20150122 20150212 20150312,20140403 20140515 20140605 20140703 20140807 20140904 20141009 20141110 20141208 20150122 20150212 20150312,20140626 20140929 20141225 20150318,20140522 20140717 20140918 20141120 20150129 20150326
上野D(上野愛宕町　上野万町　木興町　八幡町),センター,20140401 20140404 20140408 20140411 20140415 20140418 20140422 20140425 20140430 20140502 20140508 20140513 20140516 20140520 20140523 20140527 20140530 20140603 20140606 20140610 20140613 20140617 20140620 20140624 20140627 20140701 20140704 20140708 20140711 20140715 20140718 20140723 20140725 20140729 20140801 20140805 20140808 20140812 20140815 20140819 20140822 20140826 20140829 20140902 20140905 20140909 20140912 20140917 20140919 20140924 20140926 20140930 20141003 20141007 20141010 20141015 20141017 20141021 20141024 20141028 20141031 20141105 20141107 20141111 20141114 20141118 20141121 20141126 20141128 20141202 20141205 20141209 20141212 20141216 20141219 20141224 20141226 20141230 20150106 20150109 20150114 20150116 20150120 20150123 20150127 20150130 20150203 20150206 20150210 20150213 20150217 20150220 20150224 20150227 20150303 20150306 20150310 20150313 20150317 20150320 20150324 20150327 20150331,20140410 20140612 20140821 20141023 20141218 20150226,20140409 20140414 20140421 20140428 20140507 20140514 20140519 20140526 20140604 20140611 20140616 20140623 20140630 20140709 20140714 20140722 20140728 20140804 20140813 20140820 20140825 20140901 20140910 20140916 20140922 20141001 20141006 20141014 20141022 20141027 20141104 20141112 20141119 20141125 20141201 20141210 20141217 20141222 20150105 20150115 20150119 20150126 20150205 20150209 20150216 20150223 20150305 20150309 20150316 20150323 20150330,20140424 20140521 20140626 20140730 20140828 20140929 20141029 20141127 2014225 20150128 20150218 20150318,20140424 20140521 20140626 20140730 20140828 20140929 20141029 20141127 2014225 20150128 20150218 20150318,20140407 20140512 20140602 20140707 20140811 20140908 20141020 20141117 20141215 20150113 20150202 20150302,20140403 20140515 20140605 20140703 20140807 20140904 20141009 20141110 20141208 20150122 20150212 20150312,20140403 20140515 20140605 20140703 20140807 20140904 20141009 20141110 20141208 20150122 20150212 20150312,20140424 20140730 20141029 20150128,20140522 20140717 20140918 20141120 20150129 20150326
上野D(久米町　守田町　陽光台　四十九町　問屋町),センター,20140401 20140404 20140408 20140411 20140415 20140418 20140422 20140425 20140430 20140502 20140508 20140513 20140516 20140520 20140523 20140527 20140530 20140603 20140606 20140610 20140613 20140617 20140620 20140624 20140627 20140701 20140704 20140708 20140711 20140715 20140718 20140723 20140725 20140729 20140801 20140805 20140808 20140812 20140815 20140819 20140822 20140826 20140829 20140902 20140905 20140909 20140912 20140917 20140919 20140924 20140926 20140930 20141003 20141007 20141010 20141015 20141017 20141021 20141024 20141028 20141031 20141105 20141107 20141111 20141114 20141118 20141121 20141126 20141128 20141202 20141205 20141209 20141212 20141216 20141219 20141224 20141226 20141230 20150106 20150109 20150114 20150116 20150120 20150123 20150127 20150130 20150203 20150206 20150210 20150213 20150217 20150220 20150224 20150227 20150303 20150306 20150310 20150313 20150317 20150320 20150324 20150327 20150331,20140410 20140612 20140821 20141023 20141218 20150226,20140409 20140414 20140421 20140428 20140507 20140514 20140519 20140526 20140604 20140611 20140616 20140623 20140630 20140709 20140714 20140722 20140728 20140804 20140813 20140820 20140825 20140901 20140910 20140916 20140922 20141001 20141006 20141014 20141022 20141027 20141104 20141112 20141119 20141125 20141201 20141210 20141217 20141222 20150105 20150115 20150119 20150126 20150205 20150209 20150216 20150223 20150305 20150309 20150316 20150323 20150330,20140424 20140521 20140626 20140730 20140828 20140929 20141029 20141127 2014225 20150128 20150218 20150318,20140424 20140521 20140626 20140730 20140828 20140929 20141029 20141127 2014225 20150128 20150218 20150318,20140407 20140512 20140602 20140707 20140811 20140908 20141020 20141117 20141215 20150113 20150202 20150302,20140403 20140515 20140605 20140703 20140807 20140904 20141009 20141110 20141208 20150122 20150212 20150312,20140403 20140515 20140605 20140703 20140807 20140904 20141009 20141110 20141208 20150122 20150212 20150312,20140521 20140828 20141127 20150218,20140522 20140717 20140918 20141120 20150129 20150326
上野E(上野車坂町　上野田端町　上野伊予町　上野西忍町　上野東忍町),センター,20140401 20140404 20140408 20140411 20140415 20140418 20140422 20140425 20140430 20140502 20140508 20140513 20140516 20140520 20140523 20140527 20140530 20140603 20140606 20140610 20140613 20140617 20140620 20140624 20140627 20140701 20140704 20140708 20140711 20140715 20140718 20140723 20140725 20140729 20140801 20140805 20140808 20140812 20140815 20140819 20140822 20140826 20140829 20140902 20140905 20140909 20140912 20140917 20140919 20140924 20140926 20140930 20141003 20141007 20141010 20141015 20141017 20141021 20141024 20141028 20141031 20141105 20141107 20141111 20141114 20141118 20141121 20141126 20141128 20141202 20141205 20141209 20141212 20141216 20141219 20141224 20141226 20141230 20150106 20150109 20150114 20150116 20150120 20150123 20150127 20150130 20150203 20150206 20150210 20150213 20150217 20150220 20150224 20150227 20150303 20150306 20150310 20150313 20150317 20150320 20150324 20150327 20150331,20140410 20140612 20140821 20141023 20141218 20150226,20140407 20140414 20140421 20140501 20140509 20140512 20140519 20140528 20140602 20140609 20140616 20140625 20140630 20140707 20140714 20140724 20140728 20140804 20140811 20140818 20140827 20140901 20140908 20140916 20140925 20140929 20141006 20141014 20141020 20141027 20141104 20141112 20141117 20141127 20141201 20141210 20141215 20141225 20150105 20150115 20150121 20150126 20150205 20150209 20150218 20150223 20150302 20150309 20150318 20150323 20150330,20140416 20140514 20140618 20140716 20140813 20140910 20141002 20141106 20141204 20150115 20150225 20150325,20140416 20140514 20140618 20140716 20140813 20140910 20141002 20141106 20141204 20150115 20150225 20150325,20140428 20140526 20140623 20140731 20140825 20140922 20141016 20141125 20141222 20150119 20150216 20150316,20140403 20140515 20140605 20140703 20140807 20140904 20141009 20141110 20141208 20150122 20150212 20150312,20140403 20140515 20140605 20140703 20140807 20140904 20141009 20141110 20141208 20150122 20150212 20150312,20140618 20140910 20141204 20150325,20140522 20140717 20140918 20141120 20150129 20150326
上野E(上野東日野町　上野西日南町　上野寺町　上野茅町　緑ヶ丘東町　緑ヶ丘中町　緑ヶ丘本町),センター,20140401 20140404 20140408 20140411 20140415 20140418 20140422 20140425 20140430 20140502 20140508 20140513 20140516 20140520 20140523 20140527 20140530 20140603 20140606 20140610 20140613 20140617 20140620 20140624 20140627 20140701 20140704 20140708 20140711 20140715 20140718 20140723 20140725 20140729 20140801 20140805 20140808 20140812 20140815 20140819 20140822 20140826 20140829 20140902 20140905 20140909 20140912 20140917 20140919 20140924 20140926 20140930 20141003 20141007 20141010 20141015 20141017 20141021 20141024 20141028 20141031 20141105 20141107 20141111 20141114 20141118 20141121 20141126 20141128 20141202 20141205 20141209 20141212 20141216 20141219 20141224 20141226 20141230 20150106 20150109 20150114 20150116 20150120 20150123 20150127 20150130 20150203 20150206 20150210 20150213 20150217 20150220 20150224 20150227 20150303 20150306 20150310 20150313 20150317 20150320 20150324 20150327 20150331,20140410 20140612 20140821 20141023 20141218 20150226,20140407 20140414 20140421 20140501 20140509 20140512 20140519 20140528 20140602 20140609 20140616 20140625 20140630 20140707 20140714 20140724 20140728 20140804 20140811 20140818 20140827 20140901 20140908 20140916 20140925 20140929 20141006 20141014 20141020 20141027 20141104 20141112 20141117 20141127 20141201 20141210 20141215 20141225 20150105 20150115 20150121 20150126 20150205 20150209 20150218 20150223 20150302 20150309 20150318 20150323 20150330,20140416 20140514 20140618 20140716 20140813 20140910 20141002 20141106 20141204 20150115 20150225 20150325,20140416 20140514 20140618 20140716 20140813 20140910 20141002 20141106 20141204 20150115 20150225 20150325,20140428 20140526 20140623 20140731 20140825 20140922 20141016 20141125 20141222 20150119 20150216 20150316,20140403 20140515 20140605 20140703 20140807 20140904 20141009 20141110 20141208 20150122 20150212 20150312,20140403 20140515 20140605 20140703 20140807 20140904 20141009 20141110 20141208 20150122 20150212 20150312,20140416 20140716 20141002 20150115,20140522 20140717 20140918 20141120 20150129 20150326
上野E(緑ヶ丘西町　緑ヶ丘南町),センター,20140401 20140404 20140408 20140411 20140415 20140418 20140422 20140425 20140430 20140502 20140508 20140513 20140516 20140520 20140523 20140527 20140530 20140603 20140606 20140610 20140613 20140617 20140620 20140624 20140627 20140701 20140704 20140708 20140711 20140715 20140718 20140723 20140725 20140729 20140801 20140805 20140808 20140812 20140815 20140819 20140822 20140826 20140829 20140902 20140905 20140909 20140912 20140917 20140919 20140924 20140926 20140930 20141003 20141007 20141010 20141015 20141017 20141021 20141024 20141028 20141031 20141105 20141107 20141111 20141114 20141118 20141121 20141126 20141128 20141202 20141205 20141209 20141212 20141216 20141219 20141224 20141226 20141230 20150106 20150109 20150114 20150116 20150120 20150123 20150127 20150130 20150203 20150206 20150210 20150213 20150217 20150220 20150224 20150227 20150303 20150306 20150310 20150313 20150317 20150320 20150324 20150327 20150331,20140410 20140612 20140821 20141023 20141218 20150226,20140407 20140414 20140421 20140501 20140509 20140512 20140519 20140528 20140602 20140609 20140616 20140625 20140630 20140707 20140714 20140724 20140728 20140804 20140811 20140818 20140827 20140901 20140908 20140916 20140925 20140929 20141006 20141014 20141020 20141027 20141104 20141112 20141117 20141127 20141201 20141210 20141215 20141225 20150105 20150115 20150121 20150126 20150205 20150209 20150218 20150223 20150302 20150309 20150318 20150323 20150330,20140416 20140514 20140618 20140716 20140813 20140910 20141002 20141106 20141204 20150115 20150225 20150325,20140416 20140514 20140618 20140716 20140813 20140910 20141002 20141106 20141204 20150115 20150225 20150325,20140428 20140526 20140623 20140731 20140825 20140922 20141016 20141125 20141222 20150119 20150216 20150316,20140403 20140515 20140605 20140703 20140807 20140904 20141009 20141110 20141208 20150122 20150212 20150312,20140403 20140515 20140605 20140703 20140807 20140904 20141009 20141110 20141208 20150122 20150212 20150312,20140514 20140813 20141106 20150225,20140522 20140717 20140918 20141120 20150129 20150326
上野F(新居地区),センター,20140401 20140404 20140408 20140411 20140415 20140418 20140422 20140425 20140430 20140502 20140508 20140513 20140516 20140520 20140523 20140527 20140530 20140603 20140606 20140610 20140613 20140617 20140620 20140624 20140627 20140701 20140704 20140708 20140711 20140715 20140718 20140723 20140725 20140729 20140801 20140805 20140808 20140812 20140815 20140819 20140822 20140826 20140829 20140902 20140905 20140909 20140912 20140917 20140919 20140924 20140926 20140930 20141003 20141007 20141010 20141015 20141017 20141021 20141024 20141028 20141031 20141105 20141107 20141111 20141114 20141118 20141121 20141126 20141128 20141202 20141205 20141209 20141212 20141216 20141219 20141224 20141226 20141230 20150106 20150109 20150114 20150116 20150120 20150123 20150127 20150130 20150203 20150206 20150210 20150213 20150217 20150220 20150224 20150227 20150303 20150306 20150310 20150313 20150317 20150320 20150324 20150327 20150331,20140417 20140619 20140814 20141030 20141211 20150219,20140402 20140407 20140416 20140423 20140428 20140507 20140512 20140521 20140526 20140602 20140609 20140618 20140623 20140702 20140707 20140716 20140722 20140730 20140806 20140811 20140818 20140825 20140903 20140908 20140918 20140922 20141002 20141008 20141016 20141020 20141029 20141106 20141110 20141120 20141125 20141203 20141208 20141218 20141222 20150107 20150113 20150119 20150129 20150202 20150212 20150216 20150225 20150302 20150312 20150316 20150325,20140409 20140501 20140611 20140724 20140820 20140925 20141022 20141119 20141217 20150121 20150205 20150305,20140409 20140501 20140611 20140724 20140820 20140925 20141022 20141119 20141217 20150121 20150205 20150305,20140421 20140519 20140616 20140714 20140804 20140901 20141006 20141104 20141201 20150126 20150223 20150323,20140417 20140529 20140619 20140710 20140814 20140911 20141030 20141113 20141211 20150108 20150219 20150319,20140417 20140529 20140619 20140710 20140814 20140911 20141030 20141113 20141211 20150108 20150219 20150319,20140611 20140925 20141217 20150305,20140529 20140710 20140911 20141113 20150108 20150319
